CustomerID,Lookalikes
C0001,"[('C0107', 0.9971873334286555), ('C0190', 0.9947198162118966), ('C0048', 0.9905145865929766)]"
C0002,"[('C0106', 0.987001051761007), ('C0056', 0.980253337469358), ('C0146', 0.9768351340974665)]"
C0003,"[('C0133', 0.9990315097105972), ('C0052', 0.9978669896429051), ('C0035', 0.9946255467121707)]"
C0004,"[('C0165', 0.9770240181776917), ('C0057', 0.9517577808581513), ('C0169', 0.951269292455171)]"
C0005,"[('C0159', 0.9862304904557442), ('C0186', 0.9858701187803192), ('C0146', 0.9729131465701545)]"
C0006,"[('C0064', 0.9808484941491432), ('C0171', 0.9800403967812881), ('C0187', 0.9762328455154708)]"
C0007,"[('C0092', 0.9976083581939786), ('C0080', 0.9840741635122261), ('C0110', 0.9824496607559666)]"
C0008,"[('C0024', 0.9480424178533583), ('C0194', 0.9468100238534335), ('C0113', 0.93888949166642)]"
C0009,"[('C0033', 0.9765974429698808), ('C0010', 0.9760669630706748), ('C0060', 0.9429136505568586)]"
C0010,"[('C0009', 0.9760669630706748), ('C0111', 0.9708504756032533), ('C0151', 0.9656754540199941)]"
C0011,"[('C0137', 0.9911954565398291), ('C0169', 0.9788725056673074), ('C0126', 0.977994524044722)]"
C0012,"[('C0113', 0.9843282302148808), ('C0104', 0.9829714165968035), ('C0122', 0.9817249016083526)]"
C0013,"[('C0099', 0.9900353525372285), ('C0087', 0.9711670038115738), ('C0188', 0.9693618125124069)]"
C0014,"[('C0198', 0.9915958474804822), ('C0060', 0.981790463185694), ('C0128', 0.9667574683427314)]"
C0015,"[('C0132', 0.9881321227018021), ('C0073', 0.978340399791815), ('C0131', 0.9767108180278006)]"
C0016,"[('C0183', 0.9999646171033119), ('C0158', 0.988076557414491), ('C0152', 0.9863857020750415)]"
C0017,"[('C0109', 0.9614001268224218), ('C0156', 0.9570974531822127), ('C0165', 0.8991513188712944)]"
C0018,"[('C0064', 0.9985439894622186), ('C0171', 0.9972916041524228), ('C0187', 0.9762035801014457)]"
C0019,"[('C0094', 0.8967065104375916), ('C0047', 0.894515160983469), ('C0049', 0.8929418378332)]"
C0020,"[('C0167', 0.9961989676210026), ('C0061', 0.9784913950784805), ('C0042', 0.9374892855682228)]"
